"run","model","config","dataset","n_samples","q","tps","sps","eps","cps","time_per_sample_s","energy_per_sample_j","compute_per_sample_tflops","peak_vram_gib","score_per_energy","score_per_compute","timing_source","status_counts","gpu","code_commit","aux"
"dreamreasoner_best","dreamreasoner","best","gsm8k","100","0.51","61.206048829318355","0.23908612823952483","167.01256051189452",,"4.182593140653335","698.54559",,"20.249932289123535","0.0030536625415288937",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","900f946b858be9d3a9467f32b0110492cef5f54a","{""valid_rate"":0.96,""complete_rate"":0.24}"
"dreamreasoner_best","dreamreasoner","best","mbpp","100","0.01","41.461961442406654","0.161960786884401","180.32428798763502",,"6.174334042435512","1113.38239",,"18.986019134521484","5.5455646666331E-05",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","900f946b858be9d3a9467f32b0110492cef5f54a","{""valid_rate"":0.01,""complete_rate"":0.37,""executable_rate"":0.01,""structure_first_eligible_rate"":0.0,""pass_at_1"":0.01,""structure_first_eligible_ratio"":0.0}"
"dreamreasoner_best","dreamreasoner","best","structeval_t","100","0.0193","89.16404127951101","0.3482970362480899","175.3776900283314",,"2.8711125732568856","503.52909090909094",,"22.748631477355957","0.00011004820508744403",,"measured","{""oom"":45,""success"":55}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.05,""complete_rate"":0.02,""final_eval_score"":0.0193,""structure_first_eligible_ratio"":0.0}"
"dreamreasoner_best","dreamreasoner","best","sudoku","100","0.0007083333333333333","96.21427855335652","0.3758370255990489","169.03028563109763",,"2.6607277407171206","449.74357",,"20.655352115631104","4.19057052816703E-06",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.08,""complete_rate"":0.0,""blank_cell_accuracy"":0.0007083333333333333,""completion_rate"":0.040246913580246915,""given_preservation_rate"":0.029873532068654018,""conflict_rate"":0.9337037037037037,""cell_accuracy"":0.01382716049382716,""constraint_satisfaction_rate"":0.0662962962962963,""exact_solve_rate"":0.0,""blank_cell_accuracy_easy"":0.001,""exact_solve_rate_easy"":0.0,""accuracy_easy"":0.0,""n_easy"":50.0,""blank_cell_accuracy_hard"":0.00041666666666666664,""exact_solve_rate_hard"":0.0,""accuracy_hard"":0.0,""n_hard"":50.0}"
"dreamreasoner_fast","dreamreasoner","fast","gsm8k","100","0.57","90.94712871486588","0.35526222154244486","177.90867003966912",,"2.8148222337244078","500.78128000000004",,"20.24276065826416","0.0032038910744085964",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","900f946b858be9d3a9467f32b0110492cef5f54a","{""valid_rate"":0.97,""complete_rate"":0.15}"
"dreamreasoner_fast","dreamreasoner","fast","mbpp","100","0.02","67.60882237432006","0.2640969623996877","175.91457730414027",,"3.7864880796568468","666.09845",,"18.970928192138672","0.00011369154453540154",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","900f946b858be9d3a9467f32b0110492cef5f54a","{""valid_rate"":0.02,""complete_rate"":0.31,""structure_first_eligible_rate"":0.0,""executable_rate"":0.02,""pass_at_1"":0.02,""structure_first_eligible_ratio"":0.0}"
"dreamreasoner_fast","dreamreasoner","fast","structeval_t","100","0.0384","127.16346789999022","0.4967322964843368","170.9376402678204",,"2.013156799100001","344.12427272727274",,"22.764385223388672","0.00022464332571712077",,"measured","{""oom"":45,""success"":55}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.04,""complete_rate"":0.05,""final_eval_score"":0.0384,""structure_first_eligible_ratio"":0.0}"
"dreamreasoner_fast","dreamreasoner","fast","sudoku","100","0.0007083333333333333","125.74907425936676","0.4912073213256514","172.15364603622245",,"2.0358002753322944","350.47044",,"20.657328128814697","4.11454157168588E-06",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.03,""complete_rate"":0.0,""blank_cell_accuracy"":0.0007083333333333333,""completion_rate"":0.015679012345679012,""given_preservation_rate"":0.0,""conflict_rate"":0.9766666666666667,""cell_accuracy"":0.00037037037037037035,""constraint_satisfaction_rate"":0.02333333333333333,""exact_solve_rate"":0.0,""blank_cell_accuracy_easy"":0.001,""exact_solve_rate_easy"":0.0,""accuracy_easy"":0.0,""n_easy"":50.0,""blank_cell_accuracy_hard"":0.00041666666666666664,""exact_solve_rate_hard"":0.0,""accuracy_hard"":0.0,""n_hard"":50.0}"
"illada_best","illada","best","gsm8k","100","0.15","21.390770346215007","0.08355769666490237","327.440451221866",,"11.967778432313352","3918.73477",,"14.55483865737915","0.00045809856247224477",,"measured","{""success"":100}","NVIDIA GeForce RTX 4090","6dfd13210ed200de0189458bce9c6a96819dadfc","{""valid_rate"":0.79,""complete_rate"":0.39}"
"illada_best","illada","best","hellobench","1","0.2431537778611933","2.2916935172045116","0.0007459939834650103","448.64792529424284",,"1340.493384886533","601409.576",,"17.04217767715454","0.0005419701377237451",,"measured","{""success"":1}","NVIDIA GeForce RTX 4090","3c7a6e080b768b726feccf5bf5286bd5741ae476","{""valid_rate"":1.0,""complete_rate"":0.0,""length_ratio"":1.1385,""repeated_segment_fraction"":0.31215469613259667,""major_issue_count"":2.0,""objective_segment_score"":0.37569060773480667,""length_compliance_rate"":0.0,""objective_length_score"":0.8614999999999999,""seq_rep_4"":0.3051890941072999,""severe_overlength_issue_rate"":0.0,""severe_underlength_issue_rate"":0.0,""prompt_echo_issue_rate"":0.0,""high_repetition_issue_rate"":1.0,""refusal_issue_rate"":0.0,""major_issue_free_rate"":0.0,""repeated_segment_loop_issue_rate"":1.0,""corrupt_text_issue_rate"":0.0,""objective_repetition_score"":0.38962181178540023,""empty_output_issue_rate"":0.0,""output_word_count"":2277.0,""objective_quality_score"":0.2431537778611933,""objective_quality_2000_words"":0.2431537778611933,""length_compliance_2000_words"":0.0,""seq_rep_4_2000_words"":0.3051890941072999,""major_issue_free_2000_words"":0.0,""mean_output_words_2000_words"":2277.0,""sample_count_2000_words"":1.0,""generation_success_rate_2000_words"":1.0,""timed_sample_count_2000_words"":1.0,""generation_time_mean_seconds_2000_words"":1340.493384886533,""generation_time_median_seconds_2000_words"":1340.493384886533,""generation_time_min_seconds_2000_words"":1340.493384886533,""generation_time_max_seconds_2000_words"":1340.493384886533,""generation_time_mean_hours_2000_words"":0.37235927357959253,""mean_generated_tokens_2000_words"":3072.0}"
