dataset,run,label,selected_samples,trace_samples,eligible_samples,eligible_ratio,structure_first_mean,ci_low,ci_high
mbpp,qwen3_4b,Qwen3-4B AR,100,100,99,0.99,0.0583248741629242,0.03532750137957133,0.0854833722691537
mbpp,illada_best,iLLaDA Best,100,100,55,0.55,0.273108946315058,0.22029624409174037,0.3250851708505438
mbpp,illada_fast,iLLaDA Fast,100,100,46,0.46,0.3243584249948851,0.26983309998872046,0.3749578759377098
mbpp,dreamreasoner_best,DreamReasoner Best,100,100,99,0.99,0.45410593542435734,0.42149062875601495,0.4880254390455402
mbpp,dreamreasoner_fast,DreamReasoner Fast,100,100,100,1.0,0.43687509828055676,0.40755399938791065,0.46647673005269985
structeval_t,qwen3_4b,Qwen3-4B AR,100,100,61,0.61,0.40179116517976116,0.3738086630715646,0.4289593635338037
structeval_t,illada_best,iLLaDA Best,100,100,26,0.26,0.5,0.5,0.5
structeval_t,illada_fast,iLLaDA Fast,100,100,26,0.26,0.5,0.5,0.5
structeval_t,dreamreasoner_best,DreamReasoner Best,100,55,4,0.04,0.32677368927368927,0.2702922077922078,0.39444444444444443
structeval_t,dreamreasoner_fast,DreamReasoner Fast,100,55,5,0.05,0.4148273273273273,0.331493993993994,0.4736361361361362
